date,rates_score,rates_regime,us_2s10s,us_5s30s,us_real_10y,us_de_10y_diff,us_jp_10y_diff,it_de_10y_diff
2000-02-10,96.76369114061374,TIGHTENING,0.009000000000000341,-0.34499999999999975,4.319800000000001,1.0760000000000005,4.804,0.25700000000000056
2000-02-11,96.69809552932847,TIGHTENING,-0.04099999999999948,-0.4349999999999996,4.3164,1.005,4.737,0.24800000000000022
2000-02-14,96.57102732182122,TIGHTENING,-0.0649999999999995,-0.44899999999999984,4.3142000000000005,1.016,4.719,0.24299999999999944
2000-02-15,96.38618698305706,TIGHTENING,-0.07600000000000051,-0.4549999999999992,4.3026,0.9899999999999993,4.742999999999999,0.24299999999999944
2000-02-16,96.33193082340185,TIGHTENING,-0.06599999999999984,-0.4320000000000004,4.3002,0.9509999999999996,4.743,0.2909999999999995
2000-02-17,96.2214202966043,TIGHTENING,-0.10499999999999954,-0.5229999999999997,4.2966999999999995,0.9729999999999999,4.709,0.2530000000000001
2000-02-18,95.69821337452098,TIGHTENING,-0.14900000000000002,-0.5249999999999995,4.2749,0.9180000000000001,4.662,0.274
2000-02-19,95.22915355328306,TIGHTENING,-0.14900000000000002,-0.5249999999999995,4.2749,0.9180000000000001,4.662,0.274
2000-02-21,94.79052071472918,TIGHTENING,-0.14499999999999957,-0.5209999999999999,4.2844,0.9790000000000001,4.686,0.2569999999999997
2000-02-22,94.02709911835048,TIGHTENING,-0.1900000000000004,-0.4790000000000001,4.2635,0.9459999999999997,4.492999999999999,0.258
2000-02-23,93.61036270328444,TIGHTENING,-0.19900000000000073,-0.5059999999999993,4.2783999999999995,0.9790000000000001,4.5729999999999995,0.25900000000000034
2000-02-24,93.24307419487232,TIGHTENING,-0.1559999999999997,-0.41600000000000037,4.2712,0.9670000000000005,4.49,0.25900000000000034
2000-02-25,92.63493658133441,TIGHTENING,-0.06899999999999995,-0.3380000000000001,4.2745,0.8759999999999994,4.433999999999999,0.2679999999999998
2000-02-28,92.54641162386011,TIGHTENING,-0.09100000000000019,-0.3949999999999996,4.278599999999999,0.9339999999999993,4.59,0.2659999999999991
2000-02-29,92.8101384538121,TIGHTENING,-0.1120000000000001,-0.45500000000000007,4.2864,0.9089999999999998,4.5569999999999995,0.2649999999999997
2000-03-01,92.56863024917978,TIGHTENING,-0.11799999999999944,-0.41299999999999937,4.2712,0.9000000000000004,4.548,0.266
2000-03-02,92.67366484421439,TIGHTENING,-0.12899999999999956,-0.4510000000000005,4.255700000000001,0.8570000000000002,4.588,0.25399999999999956
2000-03-03,92.92489358742002,TIGHTENING,-0.1070000000000002,-0.4610000000000003,4.2341,0.9269999999999996,4.582,0.2519999999999998
2000-03-04,92.47292388644516,TIGHTENING,-0.1070000000000002,-0.4610000000000003,4.2341,0.9269999999999996,4.582,0.2519999999999998
2000-03-06,92.10873727044387,TIGHTENING,-0.11800000000000033,-0.4820000000000002,4.2317,0.9569999999999999,4.629,0.26400000000000023
2000-03-07,91.64868922773191,TIGHTENING,-0.11299999999999955,-0.4240000000000004,4.2205,0.9409999999999998,4.573,0.2729999999999997
2000-03-08,91.21235028487123,TIGHTENING,-0.11600000000000055,-0.4170000000000007,4.224,0.9259999999999993,4.6129999999999995,0.26699999999999946
2000-03-09,90.71778173527358,TIGHTENING,-0.13400000000000034,-0.39400000000000013,4.2126,0.9980000000000002,4.534,0.26900000000000013
2000-03-10,90.45040138282756,TIGHTENING,-0.15399999999999991,-0.4189999999999996,4.2102,1.013,4.541,0.26400000000000023
2000-03-13,90.0152925857921,TIGHTENING,-0.14100000000000001,-0.39400000000000013,4.1925,1.045,4.5440000000000005,0.2629999999999999
2000-03-14,89.54116739931905,TIGHTENING,-0.17600000000000016,-0.40200000000000014,4.1699,0.9329999999999998,4.471,0.27200000000000024
2000-03-15,88.89135551570632,TIGHTENING,-0.2029999999999994,-0.4170000000000007,4.165100000000001,0.9580000000000002,4.454000000000001,0.2759999999999998
2000-03-16,88.13469184789828,TIGHTENING,-0.2400000000000002,-0.4139999999999997,4.1617999999999995,0.9729999999999999,4.379,0.28200000000000003
2000-03-17,87.11725455048239,TIGHTENING,-0.29100000000000037,-0.44599999999999973,4.1635,0.9530000000000003,4.338,0.27500000000000036
2000-03-20,86.13318536392941,TIGHTENING,-0.32699999999999996,-0.4460000000000006,4.1631,0.9409999999999998,4.327,0.2699999999999996
2000-03-21,85.26386322122202,TIGHTENING,-0.367,-0.45699999999999985,4.1479,0.9139999999999997,4.244,0.2699999999999996
2000-03-22,84.13913458043298,TIGHTENING,-0.36299999999999955,-0.43299999999999983,4.1149000000000004,0.8550000000000004,4.25,0.2760000000000007
2000-03-23,82.90545582968937,TIGHTENING,-0.42300000000000004,-0.476,4.0718,0.8790000000000004,4.229,0.2810000000000006
2000-03-24,82.38553508339128,TIGHTENING,-0.43299999999999983,-0.5140000000000002,4.0912,0.9429999999999996,4.313,0.28500000000000014
2000-03-27,82.01707817423669,TIGHTENING,-0.4300000000000006,-0.5259999999999998,4.0935,0.8689999999999998,4.2829999999999995,0.2810000000000006
2000-03-28,81.38331760197244,TIGHTENING,-0.44700000000000006,-0.46799999999999997,4.0661,0.8730000000000002,4.269,0.27800000000000047
2000-03-29,81.26114242407498,TIGHTENING,-0.44200000000000017,-0.4630000000000001,4.0760000000000005,0.8390000000000004,4.288,0.2839999999999998
2000-03-30,80.22134292324138,TIGHTENING,-0.42900000000000027,-0.45899999999999963,4.0085,0.798,4.2589999999999995,0.28200000000000003
2000-03-31,78.45037285202348,TIGHTENING,-0.47500000000000053,-0.48599999999999977,3.9998999999999993,0.7879999999999994,4.223,0.2909999999999995
2000-04-01,76.58950525413387,TIGHTENING,-0.47500000000000053,-0.48599999999999977,3.9998999999999993,0.7879999999999994,4.223,0.2909999999999995
2000-04-03,74.95633075163114,TIGHTENING,-0.45399999999999974,-0.4499999999999993,3.9926,0.7709999999999999,4.153,0.2839999999999998
2000-04-04,72.80526350016915,TIGHTENING,-0.41300000000000026,-0.3700000000000001,3.9888999999999997,0.7129999999999992,4.106,0.2729999999999997
2000-04-05,71.83070199619588,TIGHTENING,-0.42799999999999994,-0.35300000000000065,3.9847,0.7400000000000002,4.091,0.29800000000000004
2000-04-06,71.49078566309079,TIGHTENING,-0.45899999999999963,-0.4330000000000007,4.000500000000001,0.7320000000000002,4.192,0.2839999999999998
2000-04-07,70.77034375297725,TIGHTENING,-0.5129999999999999,-0.4710000000000001,3.9921999999999995,0.6689999999999996,4.125,0.2789999999999999
2000-04-08,70.26401344796598,TIGHTENING,-0.5129999999999999,-0.4710000000000001,3.9921999999999995,0.6689999999999996,4.125,0.2789999999999999
2000-04-10,69.7536707599171,NEUTRAL-TIGHT,-0.492,-0.39700000000000024,3.9919000000000002,0.6079999999999997,4.029999999999999,0.2779999999999996
2000-04-11,69.77338736296704,NEUTRAL-TIGHT,-0.44900000000000073,-0.40200000000000014,3.9925999999999995,0.7199999999999998,4.132999999999999,0.2919999999999998
2000-04-12,69.94540775367113,NEUTRAL-TIGHT,-0.4220000000000006,-0.40300000000000047,4.0249,0.7489999999999997,4.148,0.27700000000000014
2000-04-13,70.44758798348857,TIGHTENING,-0.44200000000000017,-0.4009999999999998,4.0287,0.7079999999999993,4.096,0.27499999999999947
2000-04-14,70.2529586368793,TIGHTENING,-0.3850000000000007,-0.3330000000000002,4.003399999999999,0.6129999999999995,4.051,0.2610000000000001
2000-04-15,70.42980737179137,TIGHTENING,-0.3850000000000007,-0.3330000000000002,4.003399999999999,0.6129999999999995,4.051,0.2610000000000001
2000-04-17,70.92955323830573,TIGHTENING,-0.2779999999999996,-0.33399999999999963,3.9954,0.8130000000000006,4.3260000000000005,0.27800000000000047
2000-04-18,70.88323773041611,TIGHTENING,-0.2699999999999996,-0.36799999999999944,3.9744,0.806,4.339,0.27499999999999947
2000-04-19,70.70916340562937,TIGHTENING,-0.3280000000000003,-0.383,3.9684,0.7119999999999997,4.279,0.28799999999999937
2000-04-20,71.29084288091556,TIGHTENING,-0.3680000000000003,-0.40500000000000025,3.9724,0.7000000000000002,4.257,0.2970000000000006
2000-04-21,71.84577141798695,TIGHTENING,-0.375,-0.4119999999999999,3.9716,0.6890000000000001,4.237,0.2859999999999996
2000-04-24,71.82052347489524,TIGHTENING,-0.37099999999999955,-0.3849999999999998,3.9417000000000004,0.7280000000000006,4.274,0.29499999999999993
2000-04-25,72.40861798595435,TIGHTENING,-0.35599999999999987,-0.4370000000000003,3.9859,0.7940000000000005,4.402,0.27800000000000047
2000-04-26,73.26885551677891,TIGHTENING,-0.37100000000000044,-0.44099999999999984,3.9935,0.8469999999999995,4.387,0.2759999999999998
2000-04-27,74.17133665668227,TIGHTENING,-0.39000000000000057,-0.5309999999999997,3.976,0.9219999999999997,4.483,0.28000000000000025
2000-04-28,75.20515868650429,TIGHTENING,-0.4640000000000004,-0.5780000000000003,3.9659999999999997,0.9139999999999997,4.4479999999999995,0.28300000000000036
2000-04-29,76.01017448695664,TIGHTENING,-0.4640000000000004,-0.5780000000000003,3.9659999999999997,0.9139999999999997,4.4479999999999995,0.28300000000000036
2000-04-30,76.1849487485807,TIGHTENING,-0.4640000000000004,-0.5780000000000003,3.9659999999999997,0.9139999999999997,4.4479999999999995,0.28300000000000036
2000-05-01,76.46088416686084,TIGHTENING,-0.4410000000000007,-0.5989999999999993,3.9619999999999997,0.9809999999999999,4.536999999999999,0.2810000000000006
2000-05-02,76.67998904328034,TIGHTENING,-0.4119999999999999,-0.5729999999999995,3.9655000000000005,0.9560000000000004,4.564,0.2729999999999997
2000-05-03,77.15382706517777,TIGHTENING,-0.34500000000000064,-0.5470000000000006,3.9798,1.0099999999999998,4.6659999999999995,0.3250000000000002
